"Group.1","x"
"account consid",20
"account consider",21
"account consum",35
"account control",12
"account convent",33
"account corpor",38
"account cost",20
"account cours",22
"account cover",12
"account credit",54
"account current",56
"account custom",38
"account data",34
"account day",19
"account decis",38
"account declin",36
"account deficit",1343
"account demand",18
"account democrat",13
"account demograph",11
"account deposit",32
"account depositor",14
"account depositori",22
"account determin",29
"account develop",44
"account differ",50
"account digit",29
"account direct",28
"account disclosur",66
"account disproportion",20
"account divers",16
"account dollar",14
"account earli",11
"account econom",33
"account effect",66
"account electron",18
"account encourag",16
"account establish",15
"account estim",14
"account evalu",18
"account even",30
"account everi",14
"account examin",12
"account exampl",19
"account except",12
"account exist",27
"account expect",25
"account experi",21
"account fact",55
"account factor",27
"account fed",65
"account feder",135
"account fee",12
"account final",12
"account financ",12
"account financi",72
"account firm",69
"account first",21
"account fiscal",13
"account flow",14
"account fomc",13
"account form",12
"account formul",14
"account four",19
"account framework",30
"account fulli",12
"account fund",19
"account futur",17
"account general",27
"account give",14
"account given",13
"account good",20
"account govern",25
"account great",17
"account growth",25
"account half",78
"account held",37
"account help",12
"account high",15
"account higher",24
"account hold",28
"account holder",67
"account howev",45
"account ident",19
"account imbal",68
"account impact",11
"account import",25
"account includ",32
"account increas",89
"account inde",12
"account independ",16
"account indic",11
"account individu",42
"account industri",11
"account inflat",31
"account inform",36
"account institut",37
"account insur",17
"account interest",36
"account intern",29
"account invest",16
"account issu",28
"account just",41
"account lag",11
"account larg",65
"account larger",23
"account largest",13
"account least",14
"account legal",18
"account less",54
"account level",12
"account liber",17
"account like",40
"account limit",27
"account liquid",12
"account littl",17
"account loan",12
"account long",26
"account longer",12
"account low",19
"account m",26
"account maintain",13
"account major",40
"account make",50
"account manag",55
"account mani",37
"account market",26
"account match",14
"account may",64
"account mean",16
"account measur",46
"account meet",11
"account member",21
"account method",30
"account might",19
"account million",15
"account monetari",38
"account money",38
"account moreov",14
"account move",29
"account movement",13
"account much",99
"account must",31
"account nation",17
"account nationwid",18
"account near",92
"account need",39
"account net",30
"account new",62
"account non",12
"account nonperson",11
"account note",11
"account now",47
"account number",29
"account o",18
"account object",14
"account offer",33
"account offic",126
"account one",194
"account open",34
"account order",17
"account other",11
"account oversight",33
"account paid",12
"account part",35
"account particular",22
"account past",34
"account pay",33
"account payment",33
"account peopl",11
"account per",249
"account percent",472
"account percentag",15
"account perform",12
"account perhap",19
"account perspect",26
"account place",14
"account plan",18
"account point",13
"account polici",49
"account policymak",13
"account posit",67
"account possibl",28
"account potenti",27
"account practic",108
"account principl",85
"account probabl",14
"account problem",26
"account procedur",37
"account process",21
"account product",11
"account profess",77
"account propos",18
"account provid",35
"account public",79
"account purpos",17
"account rais",17
"account rapid",17
"account rate",13
"account rather",19
"account real",12
"account reason",30
"account receiv",28
"account recent",45
"account record",15
"account reduc",26
"account reflect",17
"account regul",23
"account regulatori",20
"account reinvest",14
"account relat",61
"account relationship",31
"account remain",19
"account report",27
"account requir",29
"account reserv",27
"account result",23
"account return",17
"account revis",11
"account rise",32
"account risk",43
"account rough",57
"account rule",74
"account s",32
"account save",53
"account scandal",25
"account second",25
"account secur",23
"account seem",46
"account sens",21
"account serv",18
"account servic",45
"account set",23
"account sever",12
"account share",19
"account shift",15
"account show",19
"account signific",34
"account similar",29
"account sinc",36
"account size",19
"account slight",18
"account small",35
"account smaller",14
"account soma",11
"account special",23
"account specif",14
"account standard",308
"account state",16
"account statement",16
"account still",21
"account stock",11
"account strong",26
"account structur",20
"account subject",30
"account substanti",35
"account suggest",12
"account super",12
"account surplus",373
"account system",127
"account take",19
"account taken",15
"account tax",29
"account techniqu",27
"account term",64
"account therebi",11
"account therefor",15
"account think",18
"account third",28
"account three",55
"account thus",57
"account time",74
"account today",11
"account total",30
"account trade",24
"account transact",48
"account transfer",11
"account transpar",32
"account treatment",54
"account two",120
"account type",20
"account u",23
"account uncertainti",13
"account unit",43
"account use",42
"account various",15
"account vast",23
"account view",12
"account virtual",18
"account well",64
"account wide",15
"account within",12
"account without",25
"account year",30
"account yield",11
"accru interest",11
"accru public",12
"accumul addit",11
"accumul asset",37
"accumul capit",24
"accumul claim",15
"accumul debt",24
"accumul dollar",57
"accumul evid",25
"accumul excess",18
"accumul feder",13
"accumul foreign",37
"accumul fund",16
"accumul home",14
"accumul hous",12
"accumul inventori",17
"accumul knowledg",17
"accumul larg",28
"accumul liquid",18
"accumul net",13
"accumul past",15
"accumul reserv",14
"accumul save",56
"accumul stock",16
"accumul substanti",13
"accumul surplus",12
"accumul time",11
"accumul wealth",32
"accur assess",54
"accur complet",12
"accur data",22
"accur estim",13
"accur expect",20
"accur forecast",34
"accur inform",88
"accur judgment",14
"accur measur",78
"accur pictur",21
"accur possibl",12
"accur predict",27
"accur price",32
"accur read",13
"accur reflect",88
"accur risk",12
"accur say",17
"accur time",38
"accuraci credit",16
"accuraci forecast",14
"accuraci market",13
"accuraci truth",11
"accustom industri",13
"accustom see",16
"ach feder",12
"ach network",17
"ach oper",12
"ach payment",51
"ach price",16
"ach servic",53
"ach system",33
"ach transact",29
"ach transfer",11
"ach volum",31
"achiev adequ",11
"achiev adjust",16
"achiev aim",14
"achiev also",22
"achiev altern",21
"achiev appropri",33
"achiev averag",13
"achiev award",12
"achiev balanc",85
"achiev bank",23
"achiev basic",14
"achiev believ",19
"achiev benefit",30
"achiev best",29
"achiev better",103
"achiev broad",34
"achiev broader",22
"achiev can",21
"achiev central",26
"achiev certain",21
"achiev chang",16
"achiev cid",14
"achiev common",17
"achiev complet",12
"achiev congression",26
"achiev consensus",19
"achiev consider",12
"achiev continu",24
"achiev coordin",11
"achiev countri",11
"achiev credibl",17
"achiev current",28
"achiev degre",18
"achiev desir",82
"achiev despit",14
"achiev domest",34
"achiev dual",178
"achiev econom",100
"achiev economi",22
"achiev effect",39
"achiev effici",35
"achiev either",11
"achiev employ",26
"achiev end",47
"achiev environ",17
"achiev equilibrium",17
"achiev even",22
"achiev fair",15
"achiev far",12
"achiev faster",16
"achiev fed",46
"achiev feder",39
"achiev final",14
"achiev financi",44
"achiev first",14
"achiev fiscal",26
"achiev fomc",21
"achiev free",11
"achiev full",121
"achiev fulli",12
"achiev gain",17
"achiev general",12
"achiev given",31
"achiev goal",627
"achiev good",25
"achiev great",19
"achiev greater",95
"achiev growth",69
"achiev healthi",15
"achiev high",63
"achiev higher",40
"achiev highest",23
"achiev howev",23
"achiev ideal",11
"achiev import",24
"achiev improv",32
"achiev increas",15
"achiev inflat",198
"achiev ing",21
"achiev intend",28
"achiev intern",22
"achiev kind",14
"achiev larg",15
"achiev last",45
"achiev less",22
"achiev level",34
"achiev limit",12
"achiev long",107
"achiev longer",33
"achiev low",80
"achiev lower",36
"achiev m",11
"achiev macroeconom",25
"achiev maintain",168
"achiev major",12
"achiev mandat",53
"achiev mani",21
"achiev maximum",221
"achiev measur",14
"achiev ment",12
"achiev mission",11
"achiev moder",32
"achiev monetari",74
"achiev much",42
"achiev multipl",13
"achiev nation",51
"achiev necessari",14
"achiev need",18
"achiev new",22
"achiev noninflationari",13
"achiev object",387
"achiev one",42
"achiev oper",20
"achiev order",15
"achiev outcom",36
"achiev overal",19
"achiev part",16
"achiev particular",48
"achiev past",25
"achiev per",18
"achiev percent",69
"achiev perman",15
"achiev polici",67
"achiev polit",16
"achiev potenti",20
"achiev present",12
"achiev price",319
"achiev product",19
"achiev progress",23
"achiev proper",20
"achiev public",25
"achiev purpos",28
"achiev rapid",16
"achiev rate",23
"achiev real",30
"achiev reason",39
"achiev recent",25
"achiev reduc",13
"achiev reduct",20
"achiev regulatori",20
"achiev relat",20
"achiev remark",13
"achiev result",85
"achiev s",20
"achiev satisfactori",18
"achiev scrutini",11
"achiev sever",17
"achiev short",26
"achiev signific",34
"achiev similar",16
"achiev sinc",13
"achiev social",22
"achiev sound",17
"achiev specif",33
"achiev stabil",30
"achiev stabl",60
"achiev state",14
"achiev statutori",11
"achiev steadi",12
"achiev strong",19
"achiev substanti",53
"achiev success",40
"achiev sustain",135
"achiev symmetr",13
"achiev target",61
"achiev third",20
"achiev three",16
"achiev time",33
"achiev two",35
"achiev ultim",28
"achiev uniform",14
"achiev use",20
"achiev vari",19
"achiev way",11
"achiev well",14
"achiev within",11
"achiev without",77
"achiev year",17
"achiev zero",17
"achill heel",11
"acid test",15
"acknowledg assist",15
"acknowledg contribut",13
"acknowledg feder",19
"acknowledg import",13
"acknowledg introduct",11
"acknowledg risk",14
"acknowledg uncertainti",23
"acquir addit",30
"acquir anoth",15
"acquir asset",38
"acquir bank",112
"acquir compani",27
"acquir conjunct",12
"acquir control",13
"acquir dollar",12
"acquir exist",11
"acquir fail",18
"acquir financi",19
"acquir firm",26
"acquir foreign",18
"acquir fund",22
"acquir good",13
"acquir inform",15
"acquir institut",11
"acquir larg",25
"acquir necessari",14
"acquir new",40
"acquir price",11
"acquir save",13
"acquir secur",18
"acquir skill",35
"acquir small",11
"acquir state",23
"acquir stock",13
"acquir thrift",23
"acquir treasuri",20
"acquisi cid",14
"acquisi tion",13
"acquisit across",14
"acquisit activ",58
"acquisit asset",11
"acquisit bank",96
"acquisit bear",11
"acquisit board",16
"acquisit can",13
"acquisit candid",12
"acquisit cost",13
"acquisit debt",19
"acquisit develop",12
"acquisit exist",18
"acquisit fail",35
"acquisit feder",26
"acquisit financ",17
"acquisit financi",28
"acquisit foreign",15
"acquisit hold",14
"acquisit larg",21
"acquisit loan",11
"acquisit market",11
"acquisit may",16
"acquisit merger",13
"acquisit need",13
"acquisit new",17
"acquisit propos",13
"acquisit result",25
"acquisit skill",13
"acquisit state",16
"acquisit thrift",21
"acquisit transact",12
"acquisit u",37
"acr per",15
"across agenc",13
"across america",19
"across asset",21
"across atlant",14
"across bank",80
"across board",116
"across border",108
"across broad",50
"across busi",23
"across citi",12
"across communiti",18
"across countr",11
"across countri",728
"across differ",68
"across district",43
"across divers",13
"across economi",94
"across entir",52
"across feder",98
"across financi",75
"across firm",66
"across fomc",11
"across generat",17
"across geograph",15
"across globe",70
"across household",19
"across incom",15
"across individu",15
"across industri",83
"across institut",58
"across intern",29
"across jurisdict",19
"across land",16
"across larg",46
"across major",16
"across mani",55
"across market",70
"across matur",22
"across multipl",31
"across nation",288
"across number",24
"across organ",37
"across particip",26
"across racial",19
"across rang",52
"across region",68
"across regulatori",12
"across sector",104
"across segment",12
"across sever",12
"across southeast",35
"across spectrum",20
"across state",237
"across street",12
"across system",27
"across time",20
"across u",42
"across unit",46
"across varieti",25
"across various",38
"across whole",17
"across wide",62
"across world",27
"act absent",12
"act accord",63
"act achiev",14
"act act",64
"act activ",12
"act addit",31
"act address",21
"act adopt",26
"act affili",14
"act agent",22
"act aggress",28
"act agreement",11
"act allow",46
"act alon",20
"act alreadi",26
"act also",128
"act although",25
"act amend",151
"act among",14
"act anti",18
"act appear",11
"act appli",43
"act applic",21
"act appropri",31
"act author",48
"act b",14
"act bank",109
"act basi",12
"act basic",11
"act becam",21
"act becom",12
"act begin",17
"act behalf",22
"act believ",29
"act best",14
"act bill",36
"act board",174
"act bring",15
"act buffer",12
"act call",17
"act can",24
"act care",15
"act case",14
"act catalyst",20
"act certain",12
"act chang",43
"act clayton",16
"act clear",27
"act common",16
"act communiti",17
"act complet",11
"act complianc",18
"act comptrol",13
"act congress",147
"act consid",12
"act consider",13
"act consum",22
"act contain",50
