"Group.1","x"
"across asset class",12
"across bank system",11
"across broad rang",20
"across countr y",11
"across feder reserv",96
"across financi system",30
"across intern border",17
"across larg number",28
"across nation border",61
"across nation boundari",40
"across racial ethnic",14
"across sector economi",19
"across state line",166
"across u s",42
"across unit state",46
"across wide rang",42
"act absent clarifi",12
"act also extend",13
"act also requir",15
"act amend incorpor",12
"act amend prohibit",12
"act amend provid",11
"act anti money",16
"act bank hold",39
"act bank merger",12
"act becam law",14
"act best interest",11
"act board recogn",12
"act board s",12
"act clayton act",12
"act congress defin",11
"act creat feder",15
"act credit card",17
"act digit fraser",21
"act dodd frank",46
"act dougla amend",12
"act effect preclud",13
"act electron fund",33
"act equal credit",11
"act exampl cash",12
"act fair credit",12
"act fair hous",15
"act feder reserv",96
"act glass steagal",16
"act goe effect",11
"act h r",30
"act humphrey hawkin",12
"act law requir",12
"act lender last",43
"act origin requir",12
"act pass congress",13
"act permit creditor",12
"act permit unsolicit",12
"act prohibit bank",17
"act provid discount",11
"act provid special",11
"act pub l",11
"act real estat",12
"act regul b",11
"act regul z",18
"act relat statut",12
"act requir bank",16
"act requir board",18
"act requir disclosur",14
"act requir feder",37
"act requir notic",12
"act return text",11
"act s effect",14
"act section feder",15
"act self interest",13
"act separ commerci",13
"act sign law",17
"act state law",17
"act stress test",16
"act suggest qualiti",12
"act think can",12
"act truth lend",14
"act u s",34
"act unit state",11
"act unlimit liabil",12
"action affect bank",16
"action affect econom",13
"action affect economi",22
"action alreadi taken",21
"action can take",11
"action can taken",22
"action central bank",61
"action congress debt",12
"action digit fraser",22
"action direct toward",17
"action econom activ",15
"action feder govern",17
"action feder open",17
"action feder reserv",177
"action fiscal monetari",17
"action fomc might",11
"action help stabil",13
"action interest rate",24
"action market particip",11
"action measur chang",11
"action monetari author",14
"action monetari polici",22
"action must taken",15
"action need taken",12
"action one countri",13
"action past year",12
"action rather feder",12
"action recent year",16
"action reduc feder",17
"action speak louder",17
"action speed respons",12
"action state level",34
"action subsequ growth",12
"action support econom",16
"action take effect",12
"action taken feder",48
"action taken last",14
"action taken respons",11
"action taken today",11
"action tend push",16
"action total spend",12
"action u s",22
"action unit state",16
"action whether intend",11
"activ absorb credit",12
"activ american bank",14
"activ area signific",11
"activ around world",14
"activ assist feder",16
"activ assur expert",11
"activ attribut ffb",12
"activ bank bank",19
"activ bank depend",13
"activ bank hold",81
"activ bank organ",64
"activ budget outset",14
"activ central bank",20
"activ close relat",28
"activ commerci bank",33
"activ concentr singl",15
"activ conduct bank",17
"activ continu expand",24
"activ control button",25
"activ cover administr",12
"activ depositori institut",11
"activ digit fraser",25
"activ edg corpor",15
"activ evolv time",11
"activ fall pp",37
"activ feder agenc",12
"activ feder govern",21
"activ feder reserv",80
"activ financi firm",12
"activ financi institut",29
"activ financi market",17
"activ first half",15
"activ foreign bank",60
"activ foreign branch",11
"activ georgia tennesse",12
"activ hold compani",36
"activ hous sector",20
"activ household busi",11
"activ industri may",11
"activ integr market",12
"activ interest rate",24
"activ labor market",26
"activ last year",24
"activ like aggreg",12
"activ local neighborhood",12
"activ look job",12
"activ look work",36
"activ mani credit",20
"activ monetari polici",17
"activ nation bank",12
"activ next year",12
"activ o f",23
"activ past year",13
"activ potenti effect",12
"activ pp â",11
"activ privat sector",15
"activ rather transfer",16
"activ real estat",14
"activ recent year",18
"activ reserv bank",13
"activ second half",13
"activ seek work",13
"activ seem like",12
"activ serious defici",12
"activ short run",24
"activ six month",13
"activ spring pp",44
"activ state bank",13
"activ still relat",15
"activ take consider",12
"activ take place",16
"activ u s",145
"activ unit state",89
"activ urg bank",18
"activ vol pp",14
"activ vol spring",17
"activ well feder",11
"activist monetari polici",15
"activityâ u 0080",11
"actual acquisit result",11
"actual declin slight",14
"actual expect inflat",34
"actual feder fund",18
"actual gdp growth",18
"actual growth rate",13
"actual inflat rate",38
"actual interest rate",12
"actual offer low",11
"actual potenti output",36
"actual rate inflat",21
"actual real rate",12
"actual tend rais",12
"actual unemploy rate",22
"ad amount regular",11
"ad averag job",20
"ad cost credit",11
"ad inflationari pressur",27
"ad m n",11
"ad million job",34
"ad monetari accommod",12
"ad percentag point",24
"adam klaus roberto",11
"adam s posen",15
"adam smith s",37
"adapt chang circumst",14
"adapt chang condit",16
"adapt chang econom",17
"adapt chang economi",24
"adapt chang environ",16
"adapt chang need",13
"adapt chang world",11
"adapt monetari polici",14
"adapt new technolog",14
"adapt rapid chang",11
"add feder reserv",15
"add inflationari pressur",26
"add total due",11
"addendum polici normal",20
"addi cid tion",18
"addi cid tional",26
"addit asset purchas",27
"addit bank credit",11
"addit bank reserv",19
"addit basi point",18
"addit billion longer",12
"addit board believ",15
"addit burden bank",11
"addit busi invest",17
"addit capit need",14
"addit capit requir",18
"addit capit stock",22
"addit cash discount",11
"addit central bank",14
"addit cost credit",20
"addit cost pressur",12
"addit direct loan",13
"addit disclosur requir",11
"addit downward pressur",28
"addit feder reserv",141
"addit fiscal support",15
"addit fund can",18
"addit head offic",13
"addit home price",12
"addit inform introduct",12
"addit inform sandra",72
"addit interest paid",11
"addit interest rate",12
"addit labor forc",12
"addit let us",11
"addit loan held",21
"addit measur interest",11
"addit monetari accommod",31
"addit monetari polici",60
"addit monetari stimulus",26
"addit per cent",11
"addit plant equip",12
"addit polici accommod",14
"addit power feder",12
"addit power grant",13
"addit power mean",12
"addit price credit",11
"addit product capac",22
"addit provis bring",12
"addit regular price",12
"addit reserv bank",29
"addit risk exercis",12
"addit risk involv",11
"addit risk might",21
"addit risk take",11
"addit today s",11
"addit treasuri secur",11
"addit u s",32
"addit unemploy rate",13
"addit unit state",12
"addit upward pressur",18
"address american econom",15
"address annual meet",12
"address arthur f",24
"address big fail",45
"address c canbi",22
"address challeng pose",11
"address counter product",16
"address distinguish audienc",18
"address distinguish group",22
"address feder reserv",14
"address financi crisi",21
"address financi stabil",29
"address great recess",19
"address import issu",11
"address issu rais",19
"address j l",16
"address lawrenc k",38
"address long term",16
"address longer term",15
"address m monro",187
"address manuel h",14
"address problem financi",15
"address problem o",15
"address remark today",11
"address safeti sound",15
"address subcommitte hope",11
"address system risk",22
"adequ cost disclosur",12
"adequ level capit",22
"adequ risk manag",11
"adequ servic heavi",12
"adequaci bank s",16
"adequaci risk manag",15
"adigit fraser http",56
"adjust annual rate",118
"adjust balanc payment",30
"adjust balanc sheet",14
"adjust can caus",11
"adjust chang econom",16
"adjust cid ment",49
"adjust current account",12
"adjust degre adjust",11
"adjust depend data",11
"adjust digit fraser",16
"adjust discount rate",25
"adjust exchang rate",46
"adjust expect inflat",11
"adjust fed fund",11
"adjust feder fund",58
"adjust feder reserv",17
"adjust financi market",11
"adjust fund rate",20
"adjust hous market",13
"adjust interest rate",94
"adjust loan sale",21
"adjust monetari base",21
"adjust monetari polici",112
"adjust money suppli",12
"adjust polici accord",12
"adjust polici instrument",12
"adjust polici rate",32
"adjust polici stanc",13
"adjust price chang",20
"adjust rate loan",12
"adjust rate mortgag",132
"adjust rate return",24
"adjust rate subprim",14
"adjust relat price",13
"adjust reserv posit",12
"adjust reserv requir",18
"adjust respons chang",14
"adjust shift now",12
"adjust short term",30
"adjust stanc monetari",39
"adjust stanc polici",13
"adjust take place",24
"adjust take time",12
"adjust target feder",12
"adjust target rang",18
"adjust u s",49
"adjust unit state",13
"adjust wage price",12
"admini cid tration",20
"administ credit control",12
"administ feder reserv",17
"administ interest rate",12
"administ monetari polici",11
"administ prudent like",12
"administ rate reflect",12
"administr account percent",14
"administr also propos",15
"administr catch program",13
"administr congress agre",14
"administr congression budget",16
"administr consum protect",15
"administr digit fraser",12
"administr discount window",16
"administr feder reserv",28
"administr institut s",12
"administr offic comptrol",11
"administr procedur act",14
"administr rural electrif",17
"administr s anti",12
"administr s budget",19
"administr s new",15
"administr s program",20
"administr s propos",55
"administr veteran s",14
"admit ever sinc",11
"adopt accommod monetari",21
"adopt basel ii",66
"adopt best practic",17
"adopt common currenc",17
"adopt control purpos",11
"adopt effect januari",12
"adopt explicit inflat",40
"adopt explicit numer",37
"adopt feder open",11
"adopt feder reserv",25
"adopt final rule",13
"adopt flexibl approach",12
"adopt formal inflat",20
"adopt hold compani",15
"adopt inflat target",83
"adopt last year",12
"adopt new technolog",51
"adopt polici statement",14
"adopt unit state",13
"adult educ program",12
"advanc annual rate",14
"advanc approach basel",34
"advanc comput communic",11
"advanc comput telecommun",15
"advanc credit lower",23
"advanc economi also",18
"advanc economi emerg",11
"advanc economi experienc",12
"advanc economi includ",11
"advanc economi like",21
"advanc economi monetari",16
"advanc economi moreov",13
"advanc economi well",15
"advanc emerg market",20
"advanc feder auspic",12
"advanc feder auspices",14
"advanc feder reserv",16
"advanc foreign economi",14
"advanc freeli liabil",11
"advanc industri countri",11
"advanc industri economi",15
"advanc inform communic",19
"advanc inform technolog",49
"advanc interest rate",11
"advanc intern rate",11
"advanc irb approach",12
"advanc measur approach",20
"advanc member bank",12
"advanc notic propos",59
"advanc output local",11
"advanc per cent",30
"advanc percent rate",14
"advanc product capac",13
"advanc risk manag",29
"advanc standard live",12
"advanc worker becom",11
"advantag disput resolut",12
"advantag economi scale",16
"advantag foreign bank",11
"advantag gain fund",12
"advantag low interest",22
"advantag new technolog",24
"advantag o f",50
"advantag order market",11
"advantag u s",33
"advers affect financi",18
"advers affect save",12
"advers affect sharp",12
"advers affect u",12
"advers balanc payment",18
"advers demand shock",13
"advers econom condit",14
"advers econom financi",12
"advers econom scenario",14
"advers effect bank",25
"advers effect econom",20
"advers effect economi",14
"advers effect financi",25
"advers effect inflat",14
"advers effect longer",11
"advers effect real",13
"advers effect u",14
"advers effect upon",16
"advers feedback loop",62
"advers impact southeast",11
"advers impact u",11
"advers impact usuri",12
"advers side effect",14
"advers suppli shock",17
"advertis market price",12
"advic consent senat",18
"advisori council feder",23
"advisori council small",11
"advoc discount claim",11
"advoc full interst",11
"aea paper proceed",11
"affair civil right",18
"affair coinag committe",19
"affair committe bank",23
"affair committe govern",11
"affair feder reserv",19
"affair hous repres",51
"affair look forward",15
"affair offic feder",12
"affair research confer",24
"affair subcommitte committe",15
"affair thecommitte bank",15
"affair u s",118
"affair unit state",219
"affect aggreg demand",27
"affect asset price",14
"affect bank industri",19
"affect bank reserv",20
"affect bank s",24
"affect communiti bank",17
"affect consum confid",12
"affect consum spend",15
"affect cost avail",28
"affect credit market",11
"affect defens cutback",20
"affect demand suppli",14
"affect econom activ",76
"affect econom condit",13
"affect econom growth",30
"affect econom outlook",13
"affect econom perform",11
"affect economi lag",49
"affect exchang rate",45
"affect feder reserv",24
"affect financi condit",18
"affect financi institut",13
"affect financi market",30
"affect financi servic",14
"affect financi system",20
"affect first mortgag",12
"affect global economi",12
"affect global financi",11
"affect guarante program",16
"affect incent work",12
"affect interest rate",57
"affect labor market",30
"affect long run",18
"affect long term",25
"affect longer term",27
"affect monetari polici",63
"affect money suppli",11
"affect nation economi",12
"affect nation s",11
"affect payment system",12
"affect price level",19
"affect public interest",12
"affect real activ",14
"affect real econom",20
"affect real economi",25
"affect safeti sound",17
"affect small busi",16
"affect stock price",16
"affect structur dynam",27
"affect suppli demand",13
"affect u s",115
"affect unit state",12
"affect wide rang",11
"affili appropri prohibit",12
"affili bank hold",42
"affili bank thrift",13
"affili commerci bank",19
"affili depositori institut",22
"affili export trade",53
"affili hold compani",31
"affili u s",32
"afford care act",11
"afford hous communiti",15
"afford hous financ",20
"afford hous program",11
"afford rental hous",31
"afford us opportun",14
"african american hispan",36
"aftermath financi crisi",33
"aftermath great recess",22
"aftermath hurrican katrina",15
"aftermath world war",13
"afternoon pleas honor",26
"afternoon s pleasur",13
"afternoon thank invit",23
"agazin speaker bureau",78
"age babi boom",33
"age babi boomer",27
"age evid popul",17
"age labor forc",46
"age o f",15
"age particip rate",17
"age popul chang",12
"age popul employ",14
"age popul grow",16
"age popul mean",12
"age u s",30
"age work progress",12
"agenc accord budget",12
"agenc attempt financ",12
"agenc branch foreign",22
"agenc communiti group",22
"agenc debt agenc",38
"agenc debt mortgag",11
"agenc digit fraser",13
"agenc feder bank",14
"agenc feder govern",19
"agenc feder reserv",44
"agenc feder sponsor",16
"agenc financ oper",12
"agenc financi institut",16
"agenc foreign bank",61
"agenc guarante mortgag",17
"agenc includ feder",22
"agenc issu guidanc",16
"agenc made direct",16
"agenc maintain safeti",12
"agenc mani year",15
"agenc mbs agenc",14
"agenc mortgag back",187
"agenc origin transact",17
"agenc program special",16
"agenc project total",11
"agenc remov budget",11
"agenc treasuri depart",11
"agenc trust fund",11
"agenc u s",14
"agenc unit state",25
"agenc view elimin",14
"agenc work togeth",17
"agent u s",20
"aggr cid gate",29
"aggreg bank credit",19
"aggreg credit flow",26
"aggreg current account",19
"aggreg demand aggreg",16
"aggreg demand can",14
"aggreg demand economi",11
"aggreg demand good",40
"aggreg demand grow",21
"aggreg demand growth",17
"aggreg demand manag",12
"aggreg demand may",13
"aggreg demand polici",17
"aggreg demand potenti",17
"aggreg demand shock",14
"aggreg demand suppli",40
"aggreg desir increas",11
"aggreg domest demand",13
"aggreg econom activ",52
"aggreg feder reserv",26
"aggreg given abil",12
"aggreg interest rate",26
"aggreg intermedi target",12
"aggreg m m",29
"aggreg ml m",14
"aggreg monetari polici",14
"aggreg money incom",22
"aggreg money suppli",12
"aggreg particular period",12
"aggreg price level",30
"aggreg product growth",17
"aggreg suppli aggreg",12
"aggreg suppli demand",24
"aggreg suppli unit",13
"aggreg u s",13
"aggress monetari polici",26
"aggress polici action",12
"ago addit loan",15
"ago commerci bank",13
"ago econom growth",15
"ago feder reserv",48
"ago last year",11
"ago took btus",11
"ago u s",26
"ago unemploy rate",19
"ago unit state",12
"agre central bank",15
"agre cid ment",14
"agre deficit reduct",11
"agre feder reserv",11
"agre last year",17
"agre long run",16
"agre monetari polici",13
"agre two tier",12
"agreement corpor u",19
"agreement intern monetari",18
"agreement price support",12
"agreement repo market",15
"agreement tariff trade",64
"agreement u s",18
"agri cid cultur",22
"agricul cid tural",20
"agricultur advisori council",13
"agricultur bank bank",13
"agricultur commod price",13
"agricultur consum credit",34
"agricultur credit confer",16
"agricultur loan permit",12
"agricultur sector economi",11
"agricultur small busi",14
"ahead digit fraser",26
"ahead feder reserv",17
"ahead implic monetari",13
"ahead inflat expect",14
"ahead last year",11
"ahead michael moskow",16
"ahead monetari polici",14
"ahead o f",16
"ahead project half",16
"ahead set new",12
"ahead u s",15
"ahead unless deliber",11
"aid case beneficiari",11
"aid question provid",11
"aid relief econom",20
"aim achiev inflat",43
"aim keep inflat",11
"aim monetari polici",23
"aim percent inflat",12
"aim prudenti regul",14
"aim reduc inflat",17
"air water pollut",11
"alabama florida georgia",20
"alabama louisiana mississippi",11
"alan b krueger",14
"alan greenspan chairman",13
"alan greenspan respons",16
"alan m taylor",21
"albeit slight higher",16
"align exchang rate",12
"align regulatori capit",14
"alik one think",11
"allan h meltzer",11
"allan timmermann ed",15
"alleg electron fund",12
"alleg error prove",12
"alleg receiv fair",12
"alli social scienc",24
"alloc among compet",11
"alloc capit product",14
"alloc cost accord",12
"alloc credit across",14
"alloc credit among",24
"alloc credit credit",12
"alloc credit feder",13
"alloc credit particular",15
"alloc credit resourc",15
"alloc incom distribut",12
"alloc product resourc",17
"alloc resourc effici",18
"alloc resourc market",15
"alloc resourc product",18
"alloc scarc resourc",34
"alloca cid tion",15
"allow balanc sheet",17
"allow bank expand",11
"allow bank financi",14
"allow bank hold",42
"allow bank organ",21
"allow central bank",30
"allow congress studi",11
"allow custom pay",14
"allow day analyz",12
"allow day instead",12
"allow depositori institut",19
"allow economi grow",12
"allow exchang rate",23
"allow feder fund",11
"allow feder reserv",52
"allow financi firm",16
"allow financi institut",25
"allow financi market",17
"allow foreign bank",22
"allow free market",12
"allow full interst",11
"allow individu state",14
"allow inflat rise",13
"allow interest rate",30
"allow least day",12
"allow manufactur sector",11
"allow market forc",18
"allow market particip",13
"allow market work",12
"allow merchant determin",11
"allow monetari polici",25
"allow money suppli",15
"allow short term",11
"allow state bank",18
"allow suffici time",12
"allow surcharg well",11
"allow thrift institut",20
"allow two altern",11
"allow type lender",12
"allow type two",11
"allow u s",50
"allow unit state",12
"allow us take",17
"almost billion contrast",18
"almost everi day",14
"almost five year",24
"almost four year",17
"almost full percentag",12
"almost goe without",13
"almost half centuri",11
"almost million job",23
"almost one fourth",12
"almost one half",24
"almost one third",33
"almost per cent",125
"almost percent annual",22
"almost percent gdp",15
"almost percent increas",21
"almost percent last",12
"almost percent per",11
"almost percent year",12
"almost percentag point",45
"almost three percentag",11
"almost three year",23
"almost two decad",13
"almost two third",29
"almost two year",24
"almost year ago",31
"alon don t",17
"alon necessarili reflect",94
"along board governor",56
"along gulf coast",14
"along line suggest",21
"along u s",12
"along way m",11
"along yield curv",13
"alreadi high level",12
"alreadi histor low",11
"alreadi made signific",12
"alreadi mention problem",11
"alreadi put place",18
"alreadi take place",15
"alreadi taken place",23
"alreadi taken step",14
"also address problem",12
"also advers affect",23
"also allow us",22
"also aris recent",21
"also ask whether",13
"also believ howev",11
"also continu increas",11
"also contribut growth",11
"also contribut signific",16
"also creat new",18
"also delay turnaround",12
"also depend upon",12
"also don t",18
"also establish constrain",12
"also extend certain",12
"also face challeng",14
"also fair obvious",11
"also feder reserv",28
"also financi market",12
"also find way",15
"also freer flow",11
"also govern spend",16
"also great increas",12
"also guarante sizabl",26
"also help avoid",12
"also help explain",20
"also help fomc",12
"also help increas",15
"also help keep",13
"also help maintain",12
"also help prevent",11
"also help reduc",21
"also help regard",11
"also help us",34
"also import consider",12
"also import implic",19
"also import note",23
"also import recogn",15
"also increas cost",12
"also increas demand",13
"also increas risk",12
"also influenc rate",11
"also keen interest",11
"also keep downward",12
"also keep mind",18
"also life insur",21
"also like comment",13
"also like make",13
"also like note",18
"also like point",16
"also like see",18
"also like thank",25
"also look forward",12
"also made clear",13
"also make clear",13
"also make difficult",19
"also make sure",11
"also monetari polici",14
"also need consid",23
"also need recogn",12
"also note import",14
"also noteworthi late",14
"also outlay ffb",16
"also pay attent",15
"also play import",51
"also play key",21
"also play major",12
"also play role",72
"also preempt state",12
"also present problem",12
"also propos substanti",13
"also provid inform",14
"also provid support",20
"also provid us",13
"also question whether",13
"also quit high",17
"also rais concern",11
"also rais question",24
"also recogn need",11
"also reduc expans",11
"also reflect fact",17
"also relat minor",12
"also remain seen",11
"also remain sourc",12
"also remind us",11
"also rose sharpli",13
"also seem clear",12
"also seem like",14
"also shown tabl",14
"also specif area",12
"also support effort",16
"also take account",44
"also taken step",17
"also tell us",15
"also tend reduc",17
"also u s",16
"also unit state",12
"also want emphas",12
"also want know",13
"also want thank",20
"also weak even",12
"also work close",11
"also worth note",18
"alter cid nativ",13
"alter credit flow",12
"alter exchang rate",13
"alter inflat expect",11
"altern channel borrow",12
"altern cours action",18
"altern energi sourc",21
"altern financi servic",11
"altern framework monetari",12
"altern increas direct",14
"altern method price",11
"altern monetari polici",61
"altern refer rate",23
"altern sourc bank",12
"altern sourc credit",12
"altern sourc energi",14
"altern sourc fund",38
"altern u s",14
"alterna cid tive",18
"although capit section",21
"although central bank",11
"although don t",18
"although feder reserv",55
"although interest rate",19
"although long run",13
"although may want",12
"although monetari polici",26
"although much less",11
"although one can",11
"although percent retail",11
"although rate growth",11
"although short term",16
"although u s",41
"although unemploy rate",27
"although unit state",15
"alw ay s",12
"alway bear mind",12
"alway everywher monetari",20
"alway monetari phenomenon",11
"alway place premium",11
"alway receiv discount",11
"alway remark reflect",11
"alway view express",73
"alway view ll",17
"alway view necessarili",13
"ama oper risk",15
"amend act congress",11
"amend articl agreement",12
"amend bank hold",73
"amend effect januari",24
"amend employ act",11
"amend equal credit",18
"amend feder act",11
"amend feder reserv",54
"amend h r",34
"amend imf articl",13
"amend incorpor oral",12
"amend truth lend",16
"ameri cid can",13
"america s communiti",18
"america s econom",19
