"","Firms$Tone"
"823",NA
"824",NA
"825",NA
"826",1
"827",1
"828",NA
"829",1
"830",NA
"831",NA
"832",NA
"833",NA
"834",-0.333333333333333
"835",1
"836",1
"837",1
"838",NA
"839",-1
"840",NA
"841",NA
"842",NA
"843",NA
"844",1
"845",NA
"846",1
"847",NA
"848",1
"849",NA
"850",NA
"851",-1
"852",NA
"853",NA
"854",NA
"855",NA
"856",NA
"857",NA
"858",NA
"859",NA
"860",1
"861",1
"862",NA
"863",-1
"864",NA
"865",NA
"866",NA
"867",1
"868",NA
"869",NA
"870",NA
"871",NA
"872",NA
"873",NA
"874",NA
"875",NA
"876",NA
"877",NA
"878",NA
"879",NA
"880",NA
"881",NA
"882",NA
"883",NA
"884",NA
"885",0.5
"886",NA
"887",NA
"888",NA
"889",NA
"890",NA
"891",NA
"892",NA
"893",NA
"894",NA
"895",NA
"896",0
"897",NA
"898",1
"899",NA
"900",NA
"901",-1
"902",NA
"903",NA
"904",NA
"905",1
"906",NA
"907",NA
"908",NA
"909",NA
"910",-1
"911",NA
"912",1
"913",-1
"914",-1
"915",NA
"916",NA
"917",0.5
"918",-1
"919",-1
"920",NA
"921",-1
"922",NA
"923",NA
"924",NA
"925",NA
"926",NA
"927",0.333333333333333
"928",-1
"929",NA
"930",NA
"931",NA
"932",1
"933",NA
"934",1
"935",1
"936",1
"937",NA
"938",1
"939",0.333333333333333
"940",1
"941",NA
"942",NA
"943",1
"944",NA
"945",NA
"946",NA
"947",1
"948",NA
"949",NA
"950",NA
"951",NA
"952",1
"953",NA
"954",NA
"955",NA
"956",NA
"957",-1
"958",-1
"959",NA
"960",-1
"961",NA
"962",-1
"963",-1
"964",-1
"965",NA
"966",NA
"967",NA
"968",-1
"969",1
"970",NA
"971",0
"972",NA
"973",NA
"974",NA
"975",NA
"976",1
"977",NA
"978",NA
"979",NA
"980",NA
"981",NA
"982",NA
"983",NA
"984",NA
"985",NA
"986",NA
"987",NA
"988",-1
"989",NA
"990",NA
"991",NA
"992",NA
"993",NA
"994",NA
"995",NA
"996",NA
"997",NA
"998",NA
"999",1
"1000",NA
"1001",NA
"1002",NA
"1003",0.333333333333333
"1004",NA
"1005",NA
"1006",1
"1007",NA
"1008",1
"1009",NA
"1010",NA
"1011",0
"1012",0
"1013",NA
"1014",NA
"1015",NA
"1016",NA
"1017",NA
"1018",NA
"1019",-1
"1020",NA
"1021",1
"1022",NA
"1023",NA
"1024",1
"1025",1
"1026",1
"1027",-1
"1028",-1
"1029",NA
"1030",NA
"1031",1
"1032",NA
"1033",1
"1034",-1
"1035",NA
"1036",NA
"1037",1
"1038",NA
"1039",-1
"1040",1
"1041",NA
"1042",1
"1043",0
"1044",1
"1045",-0.333333333333333
"1046",NA
"1047",0
"1048",0.333333333333333
"1049",NA
"1050",-1
"1051",-1
"1052",NA
"1053",NA
"1054",NA
"1055",NA
"1056",NA
"1057",NA
"1058",NA
"1059",NA
"1060",NA
"1061",NA
"1062",NA
"1063",NA
"1064",NA
"1065",-1
"1066",-1
"1067",0.428571428571429
"1068",NA
"1069",NA
"1070",NA
"1071",1
"1072",1
"1073",1
"1074",0
"1075",NA
"1076",NA
"1077",1
"1078",-1
"1079",NA
"1080",NA
"1081",-1
"1082",NA
"1083",1
"1084",NA
"1085",-1
"1086",NA
"1087",NA
"1088",NA
"1089",-1
"1090",NA
"1091",-1
"1092",NA
"1093",-1
"1094",NA
"1095",NA
"1096",-1
"1097",NA
"1098",NA
"1099",NA
"1100",-1
"1101",NA
"1102",NA
"1103",1
"1104",NA
"1105",NA
"1106",1
"1107",NA
"1108",NA
"1109",NA
"1110",1
"1111",NA
"1112",NA
"1113",1
"1114",NA
"1115",NA
"1116",NA
"1117",1
"1118",1
"1119",NA
"1120",1
"1121",NA
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",1
"1127",0
"1128",NA
"1129",NA
"1130",NA
"1131",NA
"1132",-0.2
"1133",1
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",NA
"1139",NA
"1140",-1
"1141",1
"1142",NA
"1143",NA
"1144",NA
"1145",NA
"1146",1
"1147",NA
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",NA
"1154",NA
"1155",NA
"1156",1
"1157",0.333333333333333
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",NA
"1163",NA
"1164",NA
"1165",1
"1166",NA
"1167",NA
"1168",1
"1169",NA
"1170",-1
"1171",1
"1172",NA
"1173",1
"1174",NA
"1175",NA
"1176",NA
"1177",1
"1178",NA
"1179",NA
"1180",NA
"1181",NA
"1182",NA
"1183",NA
"1184",NA
"1185",1
"1186",NA
"1187",NA
"1188",NA
"1189",0.6
"1190",0.333333333333333
"1191",NA
"1192",1
"1193",NA
"1194",NA
"1195",-1
"1196",NA
"1197",NA
"1198",NA
"1199",NA
"1200",NA
"1201",NA
"1202",NA
"1203",0
"1204",-1
"1205",NA
"1206",NA
"1207",NA
"1208",NA
"1209",NA
"1210",NA
"1211",NA
"1212",1
"1213",NA
"1214",NA
"1215",0.272727272727273
"1216",1
"1217",NA
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",1
"1223",NA
"1224",NA
"1225",NA
"1226",-1
"1227",NA
"1228",1
"1229",NA
"1230",NA
"1231",0
"1232",NA
"1233",NA
"1234",NA
"1235",NA
"1236",NA
"1237",NA
"1238",-1
"1239",-1
"1240",-0.555555555555556
"1241",NA
"1242",NA
"1243",NA
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248",NA
"1249",NA
"1250",NA
"1251",NA
"1252",NA
"1253",NA
"1254",NA
"1255",NA
"1256",NA
"1257",NA
"1258",NA
"1259",NA
"1260",NA
"1261",NA
"1262",NA
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",NA
"1268",NA
"1269",NA
"1270",NA
"1271",NA
"1272",NA
"1273",1
"1274",NA
"1275",0
"1276",NA
"1277",NA
"1278",NA
"1279",1
"1280",NA
"1281",NA
"1282",NA
"1283",NA
"1284",NA
"1285",NA
"1286",NA
"1287",-1
"1288",NA
"1289",NA
"1290",NA
"1291",NA
"1292",NA
"1293",NA
"1294",NA
"1295",NA
"1296",NA
"1297",NA
"1298",1
"1299",-1
"1300",-1
"1301",NA
"1302",1
"1303",NA
"1304",1
"1305",NA
"1306",NA
"1307",NA
"1308",NA
"1309",-1
"1310",-1
"1311",-1
"1312",-1
"1313",0.333333333333333
"1314",1
"1315",NA
"1316",1
"1317",NA
"1318",NA
"1319",0.6
"1320",NA
"1321",NA
"1322",NA
"1323",NA
"1324",-1
"1325",NA
"1326",NA
"1327",NA
"1328",NA
"1329",NA
"1330",NA
"1331",NA
"1332",NA
"1333",NA
"1334",NA
"1335",NA
"1336",NA
"1337",NA
"1338",NA
"1339",NA
"1340",NA
"1341",NA
"1342",NA
"1343",NA
"1344",NA
"1345",NA
"1346",NA
"1347",NA
"1348",NA
"1349",NA
"1350",NA
"1351",1
"1352",NA
"1353",NA
"1354",1
"1355",NA
"1356",NA
"1357",NA
"1358",NA
"1359",NA
"1360",NA
"1361",1
"1362",NA
"1363",NA
"1364",NA
"1365",1
"1366",NA
"1367",NA
"1368",NA
"1369",NA
"1370",NA
"1371",NA
"1372",NA
"1373",NA
"1374",NA
"1375",NA
"1376",NA
"1377",NA
"1378",NA
"1379",NA
"1380",1
"1381",-1
"1382",1
"1383",1
"1384",NA
"1385",NA
"1386",NA
"1387",NA
"1388",NA
"1389",NA
"1390",NA
"1391",NA
"1392",NA
"1393",1
"1394",NA
"1395",NA
"1396",-0.2
"1397",NA
"1398",NA
"1399",NA
"1400",NA
"1401",NA
"1402",NA
"1403",1
"1404",NA
"1405",NA
"1406",NA
"1407",NA
"1408",NA
"1409",NA
"1410",NA
"1411",NA
"1412",NA
"1413",NA
"1414",NA
"1415",NA
"1416",NA
"1417",NA
"1418",1
"1419",NA
"1420",NA
"1421",-1
"1422",NA
"1423",NA
"1424",1
"1425",NA
"1426",NA
"1427",0
"1428",NA
"1429",1
"1430",NA
"1431",NA
"1432",NA
"1433",NA
"1434",NA
"1435",NA
"1436",NA
"1437",NA
"1438",NA
"1439",NA
"1440",NA
"1441",NA
"1442",NA
"1443",NA
"1444",NA
"1445",NA
"1446",NA
"1447",NA
"1448",NA
"1449",1
"1450",NA
"1451",NA
"1452",NA
"1453",NA
"1454",NA
"1455",NA
"1456",NA
"1457",1
"1458",NA
"1459",NA
"1460",NA
"1461",NA
"1462",NA
"1463",NA
"1464",NA
"1465",NA
"1466",NA
"1467",NA
"1468",NA
"1469",NA
"1470",NA
"1471",NA
"1472",NA
"1473",NA
"1474",NA
"1475",NA
"1476",NA
"1477",NA
"1478",NA
"1479",NA
"1480",NA
"1481",NA
"1482",NA
"1483",NA
"1484",NA
"1485",NA
"1486",NA
"1487",NA
"1488",NA
"1489",NA
"1490",NA
"1491",NA
"1492",NA
"1493",NA
"1494",1
"1495",NA
"1496",NA
"1497",NA
"1498",NA
"1499",NA
"1500",NA
"1501",NA
"1502",NA
"1503",NA
"1504",NA
"1505",NA
"1506",NA
"1507",NA
"1508",NA
"1509",NA
"1510",NA
"1511",NA
"1512",NA
"1513",NA
"1514",NA
"1515",NA
"1516",NA
"1517",1
"1518",1
"1519",NA
"1520",NA
"1521",NA
"1522",NA
"1523",NA
"1524",-1
"1525",NA
"1526",NA
"1527",NA
"1528",NA
"1529",NA
"1530",NA
"1531",NA
"1532",NA
"1533",NA
"1534",NA
"1535",NA
"1536",NA
"1537",NA
"1538",NA
"1539",NA
"1540",NA
"1541",NA
"1542",NA
"1543",NA
"1544",NA
"1545",1
"1546",NA
"1547",NA
"1548",NA
"1549",NA
"1550",NA
"1551",0.75
"1552",NA
"1553",NA
"1554",1
"1555",NA
"1556",NA
"1557",-0.6
"1558",NA
"1559",NA
"1560",NA
"1561",NA
"1562",NA
"1563",NA
"1564",NA
"1565",NA
"1566",NA
"1567",NA
"1568",NA
"1569",NA
"1570",NA
"1571",NA
"1572",NA
"1573",NA
"1574",NA
"1575",NA
"1576",NA
"1577",-1
"1578",1
"1579",NA
"1580",NA
"1581",1
"1582",NA
"1583",NA
"1584",NA
"1585",NA
"1586",NA
"1587",-1
"1588",NA
"1589",NA
"1590",NA
"1591",NA
"1592",NA
"1593",NA
"1594",NA
"1595",1
"1596",1
"1597",NA
"1598",NA
"1599",NA
"1600",NA
"1601",NA
"1602",NA
"1603",1
"1604",NA
"1605",NA
"1606",NA
"1607",NA
"1608",NA
"1609",NA
"1610",NA
"1611",NA
"1612",NA
"1613",1
"1614",NA
"1615",1
"1616",NA
"1617",NA
"1618",NA
"1619",NA
"1620",NA
"1621",NA
"1622",NA
"1623",NA
"1624",NA
"1625",NA
"1626",0
"1627",NA
"1628",NA
"1629",NA
"1630",1
"1631",NA
"1632",NA
"1633",NA
"1634",NA
"1635",NA
"1636",NA
"1637",NA
"1638",NA
"1639",NA
"1640",NA
"1641",NA
"1642",NA
"1643",NA
"1644",NA
"1645",NA
"1646",-1
"1647",NA
"1648",0.333333333333333
"1649",NA
"1650",NA
"1651",NA
"1652",NA
"1653",NA
"1654",NA
"1655",NA
"1656",NA
"1657",NA
"1658",NA
"1659",NA
"1660",NA
"1661",0
"1662",1
"1663",NA
"1664",1
"1665",NA
"1666",0.5
"1667",0
"1668",NA
"1669",NA
"1670",NA
"1671",1
"1672",NA
"1673",1
"1674",1
"1675",NA
"1676",1
"1677",-1
"1678",NA
"1679",-1
"1680",NA
"1681",NA
"1682",0
"1683",NA
"1684",-1
"1685",NA
"1686",NA
"1687",NA
"1688",1
"1689",-1
"1690",NA
"1691",NA
"1692",NA
"1693",NA
"1694",-1
"1695",1
"1696",1
"1697",1
"1698",1
"1699",NA
"1700",-1
"1701",NA
"1702",NA
"1703",NA
"1704",1
"1705",NA
"1706",NA
"1707",NA
"1708",NA
"1709",NA
"1710",-1
"1711",NA
"1712",NA
"1713",1
"1714",1
"1715",NA
"1716",NA
"1717",NA
"1718",NA
"1719",NA
"1720",NA
"1721",NA
"1722",NA
"1723",NA
"1724",NA
"1725",NA
"1726",NA
"1727",NA
"1728",NA
"1729",NA
"1730",NA
"1731",1
"1732",NA
"1733",NA
"1734",NA
"1735",-1
"1736",NA
"1737",NA
"1738",-1
"1739",-1
"1740",NA
"1741",1
"1742",NA
"1743",NA
"1744",NA
"1745",NA
"1746",NA
"1747",NA
"1748",NA
"1749",NA
"1750",NA
"1751",1
"1752",NA
"1753",NA
"1754",NA
"1755",-1
"1756",NA
"1757",NA
"1758",-1
"1759",-1
"1760",NA
"1761",1
"1762",NA
"1763",NA
"1764",NA
"1765",0
"1766",NA
"1767",NA
"1768",NA
"1769",NA
"1770",NA
"1771",NA
"1772",NA
"1773",NA
"1774",NA
"1775",NA
"1776",NA
"1777",NA
"1778",NA
"1779",NA
"1780",NA
"1781",1
"1782",NA
"1783",NA
"1784",NA
"1785",NA
"1786",NA
"1787",NA
"1788",NA
"1789",NA
"1790",NA
"1791",NA
"1792",NA
"1793",NA
"1794",NA
"1795",NA
"1796",NA
"1797",NA
"1798",NA
"1799",0.5
"1800",NA
"1801",NA
"1802",NA
"1803",NA
"1804",NA
"1805",NA
"1806",1
"1807",1
"1808",1
"1809",NA
"1810",NA
"1811",NA
"1812",0.6
"1813",NA
"1814",NA
"1815",-1
"1816",NA
"1817",NA
"1818",NA
"1819",NA
"1820",NA
"1821",NA
"1822",NA
"1823",NA
"1824",NA
"1825",NA
"1826",NA
"1827",NA
"1828",NA
"1829",NA
"1830",NA
"1831",-1
"1832",NA
"1833",NA
"1834",NA
"1835",-1
"1836",1
"1837",0
"1838",-0.2
"1839",NA
"1840",NA
"1841",NA
"1842",1
"1843",NA
"1844",NA
"1845",NA
"1846",NA
"1847",NA
"1848",1
"1849",-1
"1850",NA
"1851",0
"1852",NA
"1853",NA
"1854",NA
"1855",NA
"1856",NA
"1857",NA
"1858",1
"1859",NA
"1860",NA
"1861",NA
"1862",0.2
"1863",1
"1864",NA
"1865",1
"1866",NA
"1867",NA
"1868",1
"1869",NA
"1870",0
"1871",NA
"1872",NA
"1873",NA
"1874",-0.333333333333333
"1875",NA
"1876",NA
"1877",1
"1878",NA
"1879",NA
"1880",NA
"1881",NA
"1882",NA
"1883",0.6
"1884",1
"1885",NA
"1886",1
"1887",NA
"1888",NA
"1889",NA
"1890",1
"1891",NA
"1892",NA
"1893",NA
"1894",NA
"1895",0.333333333333333
"1896",NA
"1897",NA
"1898",NA
"1899",-1
"1900",NA
"1901",NA
"1902",NA
"1903",0.75
"1904",NA
"1905",NA
"1906",NA
"1907",1
"1908",NA
"1909",NA
"1910",-1
"1911",NA
"1912",NA
"1913",NA
"1914",NA
"1915",NA
"1916",-1
"1917",NA
"1918",NA
"1919",-1
"1920",1
"1921",NA
"1922",-0.333333333333333
"1923",0.538461538461538
"1924",NA
"1925",NA
"1926",1
"1927",NA
"1928",-1
"1929",-0.333333333333333
"1930",NA
"1931",NA
"1932",-1
"1933",NA
"1934",NA
"1935",1
"1936",NA
"1937",NA
"1938",1
"1939",NA
"1940",1
"1941",NA
"1942",NA
"1943",NA
"1944",0
"1945",NA
"1946",NA
"1947",NA
"1948",NA
"1949",NA
"1950",NA
"1951",NA
"1952",-1
"1953",NA
"1954",0.777777777777778
"1955",NA
"1956",1
"1957",NA
"1958",NA
"1959",NA
"1960",1
"1961",NA
"1962",NA
"1963",NA
"1964",0
"1965",NA
"1966",1
"1967",NA
"1968",NA
"1969",1
"1970",NA
"1971",1
"1972",NA
"1973",NA
"1974",1
"1975",0.733333333333333
"1976",NA
"1977",NA
"1978",NA
"1979",1
"1980",NA
"1981",NA
"1982",1
"1983",1
"1984",0.8
"1985",NA
"1986",NA
"1987",NA
"1988",1
"1989",NA
"1990",1
"1991",NA
"1992",NA
"1993",NA
"1994",NA
"1995",0
"1996",1
"1997",0.333333333333333
"1998",NA
"1999",1
"2000",NA
"2001",NA
"2002",NA
"2003",-1
"2004",0
"2005",NA
"2006",NA
"2007",NA
"2008",NA
"2009",NA
"2010",-1
"2011",NA
"2012",1
"2013",1
"2014",NA
"2015",NA
"2016",1
"2017",0
"2018",1
"2019",1
"2020",0
"2021",NA
"2022",1
"2023",NA
"2024",NA
"2025",0
"2026",NA
"2027",NA
"2028",NA
"2029",NA
"2030",NA
"2031",NA
"2032",NA
"2033",1
"2034",1
"2035",1
"2036",-1
"2037",0
"2038",NA
"2039",NA
"2040",NA
"2041",NA
"2042",1
"2043",NA
"2044",0.714285714285714
"2045",-1
"2046",0.666666666666667
"2047",NA
"2048",1
"2049",NA
"2050",NA
"2051",NA
"2052",NA
"2053",1
"2054",NA
"2055",NA
"2056",NA
"2057",NA
"2058",NA
"2059",NA
"2060",1
"2061",NA
"2062",NA
"2063",NA
"2064",NA
"2065",NA
"2066",NA
"2067",NA
"2068",0.692307692307692
"2069",NA
"2070",-1
"2071",NA
"2072",1
"2073",1
"2074",NA
"2075",0
"2076",1
"2077",1
"2078",NA
"2079",NA
"2080",NA
"2081",1
"2082",1
"2083",NA
"2084",0.5
"2085",0.5
"2086",1
"2087",NA
"2088",1
"2089",NA
"2090",NA
"2091",0.818181818181818
"2092",1
"2093",1
"2094",NA
"2095",NA
"2096",NA
"2097",1
"2098",NA
"2099",NA
"2100",NA
"2101",NA
"2102",NA
"2103",NA
"2104",NA
"2105",1
"2106",1
"2107",0
"2108",NA
"2109",NA
"2110",NA
"2111",NA
"2112",NA
"2113",NA
"2114",NA
"2115",NA
"2116",NA
"2117",1
"2118",NA
"2119",NA
"2120",NA
"2121",NA
"2122",NA
"2123",NA
"2124",NA
"2125",NA
"2126",NA
"2127",NA
"2128",1
"2129",NA
"2130",1
"2131",NA
"2132",NA
"2133",NA
"2134",NA
"2135",NA
"2136",NA
"2137",1
"2138",0.6
"2139",1
"2140",NA
"2141",NA
"2142",NA
"2143",NA
"2144",0
"2145",0.6
"2146",0.333333333333333
"2147",1
"2148",NA
"2149",-1
